ip,hostname,role,platform,traffic
10.8.8.113,alix13,AP,wmp,0
10.8.8.114,alix14,STA,wmp,0
10.8.8.105,alix05,STA,wmp,0
10.8.8.103,alix03,STA,wmp,0
10.8.8.104,alix04,STA,wmp,0
